person_id,predict_horizon,FDE_mean,FDE_min,ADE_mean,ADE_min,num_predicted_trajs
13185100,1,0.586,0.331,0.586,0.331,0.331,20
13185100,2,0.833,0.553,0.71,0.448,0.442,20
13185100,3,1.082,0.792,0.834,0.644,0.559,20
13185100,4,1.264,0.862,0.941,0.713,0.635,20
13185100,5,1.584,0.994,1.07,0.785,0.706,20
13185100,6,1.781,1.168,1.165,0.851,0.783,19
13185100,7,1.965,1.255,1.279,0.909,0.851,19
13185100,8,1.953,1.251,1.349,0.952,0.901,18
13185100,9,2.092,1.376,1.432,0.999,0.954,18
13185100,10,2.204,1.532,1.497,1.052,1.012,17
13185100,11,2.468,1.773,1.59,1.118,1.081,16
13185100,12,2.526,1.695,1.668,1.174,1.132,16
13185100,13,2.673,1.789,1.746,1.222,1.183,16
13185100,14,2.939,2.008,1.841,1.278,1.242,15
13185100,15,3.035,1.992,1.92,1.325,1.292,14
13185100,16,3.125,1.899,1.995,1.361,1.33,14
13185100,17,3.014,1.853,2.005,1.39,1.36,13
13185100,18,3.017,1.73,2.031,1.416,1.381,12
13185100,19,3.611,2.246,2.114,1.469,1.426,12
13185100,20,3.927,2.829,2.205,1.538,1.496,12
13185100,21,4.084,2.942,2.294,1.613,1.565,12
13185100,22,4.316,3.079,2.386,1.701,1.634,12
13185100,23,4.423,3.036,2.475,1.813,1.695,12
13185100,24,4.543,3.138,2.619,1.945,1.791,11
13185100,25,4.948,3.458,2.712,2.005,1.857,11
13185100,26,5.134,3.792,2.805,2.074,1.932,11
13185100,27,4.796,3.82,2.878,2.139,2.082,8
13185100,28,4.929,3.791,2.951,2.198,2.143,8
13185100,29,5.43,4.098,3.036,2.263,2.21,8
13185100,30,5.549,4.334,3.089,2.332,2.288,7
13185100,31,5.834,4.324,3.178,2.396,2.353,7
13185100,32,5.507,4.303,3.195,2.456,2.414,6
13185100,33,5.657,4.389,3.27,2.515,2.474,6
13185100,34,5.959,4.456,3.349,2.572,2.532,6
13185100,35,6.226,4.52,3.431,2.627,2.589,6
13185100,36,6.357,4.455,3.512,2.678,2.641,6
13185100,37,6.534,4.509,3.594,2.728,2.692,6
13185100,38,7.105,5.284,3.762,2.795,2.76,5
13185100,39,7.271,5.595,3.852,2.867,2.832,5
13185100,40,7.621,6.072,3.946,2.947,2.913,5
13185100,41,8.105,6.045,4.047,3.035,2.99,5
